1,8,20,29
1,8,26,31
1,8,26,61
1,8,28,29
1,8,31,52
1,8,38,43
1,8,43,46
1,8,52,61
1,16,20,29
1,16,26,31
1,16,26,61
1,16,28,29
1,16,31,52
1,16,38,43
1,16,43,46
1,16,52,61
1,20,38,55
1,20,46,55
1,26,26,43
1,26,43,52
1,28,38,55
1,28,46,55
1,43,52,52
2,4,7,13
2,4,7,25
2,4,13,27
2,4,13,45
2,4,13,49
2,4,25,27
2,4,25,45
2,4,25,49
2,6,11,27
2,6,11,45
2,6,21,47
2,6,21,59
2,6,27,41
2,6,29,39
2,6,29,51
2,6,41,45
2,7,7,30
2,7,7,36
2,7,10,15
2,7,10,57
2,7,12,13
2,7,12,25
2,7,13,24
2,7,13,32
2,7,15,56
2,7,18,31
2,7,18,61
2,7,22,27
2,7,22,45
2,7,24,25
2,7,25,32
2,7,27,30
2,7,27,36
2,7,27,44
2,7,30,45
2,7,30,49
2,7,31,60
2,7,36,45
2,7,36,49
2,7,39,42
2,7,39,54
2,7,42,47
2,7,42,51
2,7,42,59
2,7,44,45
2,7,47,54
2,7,50,63
2,7,51,54
2,7,54,59
2,7,56,57
2,7,58,63
2,7,60,61
2,10,15,27
2,10,15,45
2,10,15,49
2,10,19,19
2,10,19,27
2,10,19,37
2,10,19,45
2,10,21,55
2,10,27,27
2,10,27,37
2,10,27,45
2,10,27,57
2,10,29,63
2,10,37,37
2,10,37,45
2,10,45,45
2,10,45,57
2,10,49,57
2,11,12,21
2,11,14,27
2,11,14,45
2,11,21,24
2,11,23,30
2,11,23,36
2,11,26,27
2,11,26,45
2,11,27,40
2,11,27,48
2,11,27,52
2,11,30,53
2,11,36,53
2,11,39,50
2,11,39,58
2,11,40,45
2,11,42,63
2,11,45,48
2,11,45,52
2,11,50,51
2,11,51,58
2,11,54,63
2,12,13,27
2,12,13,45
2,12,13,49
2,12,21,41
2,12,25,27
2,12,25,45
2,12,25,49
2,13,14,63
2,13,22,39
2,13,22,51
2,13,24,27
2,13,24,45
2,13,24,49
2,13,27,32
2,13,27,42
2,13,27,54
2,13,32,45
2,13,32,49
2,13,39,44
2,13,40,63
2,13,42,45
2,13,44,51
2,13,45,54
2,14,21,39
2,14,21,47
2,14,21,51
2,14,21,59
2,14,25,63
2,14,27,41
2,14,41,45
2,15,18,23
2,15,18,53
2,15,19,22
2,15,19,30
2,15,19,36
2,15,19,44
2,15,20,21
2,15,21,28
2,15,22,37
2,15,23,60
2,15,27,56
2,15,30,37
2,15,34,39
2,15,34,51
2,15,35,38
2,15,35,46
2,15,36,37
2,15,37,44
2,15,39,62
2,15,45,56
2,15,49,56
2,15,51,62
2,15,53,60
2,18,19,23
2,18,19,53
2,18,23,27
2,18,23,37
2,18,23,45
2,18,23,57
2,18,27,31
2,18,27,53
2,18,27,61
2,18,31,45
2,18,31,49
2,18,37,53
2,18,45,53
2,18,45,61
2,18,49,61
2,18,53,57
2,19,19,30
2,19,19,36
2,19,19,56
2,19,20,21
2,19,21,28
2,19,22,57
2,19,23,60
2,19,27,30
2,19,27,36
2,19,27,56
2,19,30,37
2,19,30,45
2,19,30,57
2,19,34,39
2,19,34,51
2,19,36,37
2,19,36,45
2,19,36,57
2,19,37,56
2,19,39,62
2,19,44,57
2,19,45,56
2,19,51,62
2,19,53,60
2,20,21,27
2,20,21,37
2,20,21,45
2,20,21,57
2,21,22,63
2,21,24,41
2,21,26,47
2,21,26,59
2,21,27,28
2,21,27,50
2,21,27,58
2,21,28,37
2,21,28,45
2,21,28,57
2,21,30,55
2,21,36,55
2,21,39,40
2,21,40,47
2,21,40,51
2,21,40,59
2,21,44,63
2,21,45,50
2,21,45,58
2,21,47,48
2,21,47,52
2,21,48,59
2,21,52,59
2,21,55,56
2,22,25,39
2,22,25,51
2,22,27,49
2,22,37,57
2,22,45,49
2,23,27,60
2,23,30,41
2,23,36,41
2,23,37,60
2,23,45,60
2,23,57,60
2,24,25,27
2,24,25,45
2,24,25,49
2,25,27,32
2,25,27,42
2,25,27,54
2,25,32,45
2,25,32,49
2,25,39,44
2,25,40,63
2,25,42,45
2,25,44,51
2,25,45,54
2,26,27,41
2,26,41,45
2,27,27,56
2,27,30,37
2,27,30,49
2,27,31,60
2,27,34,39
2,27,34,47
2,27,34,51
2,27,34,59
2,27,35,50
2,27,35,58
2,27,36,37
2,27,36,49
2,27,37,56
2,27,39,62
2,27,40,41
2,27,41,48
2,27,41,52
2,27,44,49
2,27,45,56
2,27,47,62
2,27,50,63
2,27,51,62
2,27,53,60
2,27,56,57
2,27,58,63
2,27,59,62
2,27,60,61
2,29,39,48
2,29,48,51
2,29,56,63
2,30,37,37
2,30,37,45
2,30,37,57
2,30,41,53
2,30,45,49
2,30,49,49
2,31,35,42
2,31,35,54
2,31,45,60
2,31,49,60
2,34,37,39
2,34,37,51
2,34,39,45
2,34,39,57
2,34,45,47
2,34,45,51
2,34,45,59
2,34,51,57
2,35,38,57
2,35,42,61
2,35,45,50
2,35,45,58
2,35,46,57
2,35,54,61
2,36,37,37
